ئاب	آب
ئاباد	آباد
ئابدا	ابدآ
ئابی	آبي
ئاتێن	آتن
ئاخ	آخ
ئاخر	آخر
ئاخفت	اخفت
ئاخۆ	اخو
ئاداب	آداب
ئادابێ	آداب
ئادارا	ادارآ
ئادام	آدام
ئادریان	ادريان
ئادێل	ادل
ئادەم	آدم
ئادەمی	آدمي
ئار	آر
ئارام	آرام
ئارامی	آرامي
ئارامە	آرام
ئارت	ارت
ئارد	ارد
ئاردی	اردي
ئارسن	ارسن
ئارش	ارش
ئارمی	آرمي
ئارون	ارون
ئارۆ	ارو
ئارۆن	ارون
ئاری	آري
ئارین	آرين
ئاریێن	آرين
ئارێز	ارض
ئارەش	ارش
ئازا	آضا
ئازار	آذار
ئازارە	آذار
ئازەر	آزر
ئازەری	آذري
ئاس	آس
ئاست	اسط
ئاستی	اسطي
ئاستێ	اسط
ئاستێک	اصطك
ئاستێکی	اصطكي
ئاستە	اسط
ئاستەی	اسطي
ئاسف	آسف
ئاسمان	آثمان
ئاسن	آسن
ئاسنی	اثني
ئاسنین	اثنين
ئاسودە	اسود
ئاسوودە	اسود
ئاسۆ	اثو
ئاسۆس	اسوس
ئاسۆی	اثوي
ئاسۆیێن	اثوين
ئاسی	آسي
ئاسیا	آسيا
ئاسەف	آسف
ئاشت	اشت
ئاشتون	اشتون
ئاشتۆن	اشتون
ئاشتی	اشتي
ئاشتیێ	اشتي
ئاشنا	اشنآ
ئاشوری	آشوري
ئاشووری	آشوري
ئاشکر	اشكر
ئاشکرا	اشكرا
ئاشکران	اشكران
ئاشکەرا	اشكرا
ئاشۆری	آشوري
ئاف	آف
ئافرتان	افرطان
ئافرەت	افرط
ئافرەتا	افرطا
ئافرەتن	افرطن
ئافرەتی	افرطي
ئافرەتێ	افرط
ئافرەتە	افرط
ئافەند	افند
ئال	آل
ئالان	الآن
ئالتمەن	الطمن
ئالتۆن	التون
ئالن	آلن
ئالوسی	الوثي
ئالی	آلي
ئالیا	آليا
ئالیان	آليان
ئالیێ	آلي
ئالیێن	آلين
ئالێ	آل
ئالێن	آلن
ئاماد	آماد
