ئاباد	آباد
ئابادی	آبادی
ئابراهام	آبراهام
ئابو	ابو
ئابڕو	آبرو
ئابی	ابی
ئاتەش	آتش
ئاخ	آخ
ئاخر	آخر
ئاخرین	آخرین
ئاخرێوی	اخروی
ئاخرە	آخر
ئاخور	آخور
ئاخوندی	آخوندی
ئاخێز	اخذ
ئاخێزێ	اخذ
ئاخێزە	اخذ
ئاد	اد
ئاداب	آداب
ئاداری	اداری
ئادرنالین	آدرنالین
ئادو	ادو
ئادوە	ادو
ئادێ	اد
ئادە	اد
ئادەم	آدم
ئارا	آرا
ئارام	آرام
ئارامش	آرامش
ئارامی	آرامی
ئارانە	آران
ئارتا	آرتا
ئارد	آرد
ئاردێنێ	اردن
ئاردە	آرد
ئاردەن	اردن
ئاردەنە	اردن
ئاردەی	آردی
ئارزو	آرزو
ئارسلان	ارسلان
ئارمان	آرمان
ئارمانەی	آرمانی
ئاروین	آروین
ئارۆئینە	آروین
ئارۆنە	آرون
ئارۆینە	آروین
ئارۆیەن	آروین
ئارۆیەنە	آروین
ئارۆیەوە	آرویو
ئاری	آری
ئارین	آرین
ئاریە	آری
ئاریەن	آرین
ئارێز	ارز
ئارەزو	آرزو
ئارەزوو	آرزو
ئازاد	آزاد
ئازادی	آزادی
ئازادێ	آزاد
ئازادە	آزاد
ئازار	آزار
ئازاری	آزاری
ئازارێ	آزار
ئازارە	آزار
ئازربایجان	آذربایجان
ئازمون	آزمون
ئازموون	آزمون
ئازموونە	آزمون
ئازیێنێ	آذین
ئازێ	آز
ئازەر	آذر
ئازەربایجان	آذربایجان
ئازەربایجانی	آذربایجانی
ئازەری	آذری
ئازەرەکێ	آذرک
ئاسا	آسا
ئاسان	آسان
ئاسانتەر	آسانتر
ئاسایشی	آسایشی
ئاسایشەی	آسایشی
ئاسایی	آسایی
ئاست	است
ئاستانە	آستان
ئاستێ	است
ئاستە	است
ئاستەکانە	استکان
ئاسلان	اصلان
ئاسمان	آسمان
ئاسمانی	آسمانی
ئاسمانیێ	آسمانی
ئاسمانە	آسمان
ئاسنی	اثنی
ئاسودە	آسود
ئاسوودە	آسود
ئاسوودەئی	آسودی
ئاسپرین	آسپرین
ئاسیا	آسیا
ئاش	آش
ئاشتی	آشتی
ئاشتیانە	آشتیان
ئاشتیە	آشتی
ئاشنا	آشنا
ئاشنایی	آشنایی
ئاشوری	آشوری
ئاشکارا	آشکارا
ئاغا	آغا
ئافریقا	آفریقا
ئافڕیێنێ	آفرین
ئال	آل
ئالبێرت	آلبرت
ئالمانی	آلمانی
ئالودێ	آلود
ئاما	اما
ئاماجە	آماج
ئاماده	آماده
ئامادێ	آماد
ئامادێێ	آماد
ئامادە	آماد
ئامادەگی	آمادگی
ئامار	آمار
ئامارێ	آمار
ئامارە	آمار
ئامازۆن	آمازون
ئامان	امان
ئامانی	امانی
ئامانێ	امان
ئامانە	امان
ئامایش	آمایش
ئامبوڵانسێ	آمبولانس
ئامراز	امراض
ئامرازێ	امراض
ئامرازە	امراض
ئامفی	آمفی
ئاموزش	آموزش
ئاموس	آموس
ئامڕازێ	امراض
ئامی	امی
ئامینێ	آمین
ئامینە	آمین
ئامێتێ	امت
ئامێتە	امت
ئامێدی	آمدی
ئامێرێ	آمر
ئامێنا	امنا
ئامێنێ	امن
ئامێنە	امن
ئامەد	آمد
ئامەدی	آمدی
ئامەیتا	آمیتا
ئامەینه	آمینه
ئامەینێ	آمین
ئان	آن
ئانا	آنا
ئانارە	انار
ئانان	آنان
ئانتالیا	آنتالیا
