E	'i
f	'ef
q	kiyu
S	'es
آ	'A
آئورت	'A'ort
آئیش	'AyeS
آئین	'A'in
آئینه	'A'ine
آئینه‌ای	'A'ine'i
آئینه‌خانه	'A'inexAne
آئینه‌کاری‌‌	'A'inekAri
آئینی	'A'ini
آئین‌نامه	'A'innAme
آئین‌نامه‌ای	'A'innAme'i
آب	'Ab
آباء	'AbA
آباجی	'AbAji
آباد	'AbAd
آبادان	'AbAdAn
آبادانی	'AbAdAni
آبادسازی	'AbAdsAzi
آباده	'AbAde
آبادگر	'AbAdgar
آبادگری	'AbAdgari
آبادی	'AbAdi
آبار	'AbAr
آباره	'AbAre
آبان	'AbAn
آبان‌ماه	'AbAnmAh
آباژور	'AbAZur
آبتاز	'AtAz
آبجو	'Abjow
آبجوسازی	'AbjowsAzi
آبجی	'Abji
آبخوان	'AbxAn
آبخور	'Abxor
آبخورد	'Abxord
آبخیز	'Abxiz
آبخیزداری	'AbxizdAri
آبداده	'AbdAde
آبدار	'AbdAr
آبدارخانه	'AbdArxAne
آبدارچی	'AbdArCi
آبدارک	'AbdArak
آبداری	'AbdAri
آبدان	'AbdAn
آبدره	'Abdarre
آبدنگ	'Abdang
آبده	'Abdeh
آبدوست	'Abdust
آبدوغ	'Abduq
آبراه	'AbrAh
آبراهام	'AbrAhAm
آبراهه	'AbrAhe
آبرسانی	'AbresAni
آبرفت	'Abroft
آبرفتی	'Abrofti
آبرنگ	'Abrang
آبرو	'Aberu
آبرودار	'AbrudAr
آبروداری	'AbrudAri
آبروریزی	'Aberurizi
آبرومند	'Aberumand
آبرومندانه	'AberumandAne
آبرومندی	'Abrumandi
آبرون	'Abrun
آبروی	'Abruy
آبریز	'Abriz
آبریزش	'AbrizeS
آبریزگاه	'AbrizgAh
آبزا	'AbzA
آبزدایی	'AbzodAyi
آبزن	'Abzan
آبزی	'Abzi
آبزیدان	'AbzidAn
آبزی‌پروری	'Abziparvari
آبسال	'AbsAl
آبسالان	'AbsAlAn
آبست	'Abast
آبستان	'AbestAn
آبستره	'Abestre
آبستن	'Abestan
آبستنی	'Abestani
آبسته	'Abaste
آبسر	'Absor
آبسرد	'Abesard
آبسردکن	'Absardkon
آبسنج	'Absanj
آبسنگ	'Absang
آبسه	'Abse
آبسکون	'Abeskun
آبشار	'AbSAr
آبشخور	'AbeSxor
آبشش	'AbSoS
آبششداران	'AbSoSdArAn
آبششی	'AbSoSoi
آبشش‌پایان	'AbSoSpAyAn
آبشوران	'AbSurAn
آبشویی	'AbSuyi
آبشکن	'AbSekan
آبشیرین	'AbSirin
آبعلی	'Ab'ali
آبغوره	'Abqure
آبفا	'AbfA
آبله	'Able
آبله‌رو	'Ableru
آبله‌مرغان	'AblemorqAn
آبله‌کوبی	'Ablekubi
آبله‌گون	'Ablegun
آبلیمو	'Ablimu
آبمار	'AbmAr
آبمیوه‌گیری	'Abmivegiri
آبنوس	'Abnus
آبنوسی	'Abnusi
آبنگاری	'AbnegAri
آبه	'Abe
آبو	'Abu
آبونمان	'AbunmAn
آبونه	'Abune
آبپاش	'AbpAS
آبچر	'AbCar
آبچلیک	'AbCelik
آبکار	'AbkAr
آبکاری	'AbkAri
آبکافت	'AbkAft
آبکره	'Abkore
آبکش	'AbkeS
آبکشی	'AbkeSi
آبکند	'Abkand
آبکوهه	'Abkuhe
آبکی	'Abaki
آبگاه	'AbgAh
آبگرم	'Abegarm
آبگز	'Abgaz
آبگوشت	'AbguSt
آبگون	'Abgun
آبگونه	'Abgune
آبگیر	'Abgir
آبگینه	'Abgine
آبی	'Abi
آبیابی	'AbyAbi
آبیار	'AbyAr
آبیاری	'AbyAri
آبید	'Abid
آبی‌رنگ	'Abirang
آب‌آهک	'AbAhak
آب‌آوردگی	'AbAvardegi
آب‌انبار	'AbanbAr
آب‌باز	'AbbAz
آب‌بازان	'AbbAzAn
آب‌بازی	'AbbAzi
آب‌بر	'Abbor
آب‌بند	'Abband
آب‌بندی	'Abbandi
آب‌بها	'AbbahA
آب‌تره	'Abtare
آب‌تنی	'Abtani
آب‌خاکی	'AbxAki
آب‌خورده	'Abxorde
آب‌خوری	'Abxori
آب‌درمانی	'AbdarmAni
آب‌دزدک	'Abdozdak
آب‌دهی	'Abdehi
آب‌دیده	'Abdide
آب‌رسان	'AbresAn
آب‌ریزی	'Abrizi
آب‌زیرکاه	'AbzirekAh
آب‌سفید	'Absefid
آب‌سیاه	'AbesiyAh
آب‌شناس	'AbSenAs
آب‌شناسی	'AbSenAsi
آب‌شیرین‌کن	'AbSirinkon
آب‌طلا	'AbtalA
آب‌فشان	'AbfeSAn
آب‌مروارید	'AbemorvArid
آب‌معدنی	'Abma'dani
آب‌منگل	'Abmangol
آب‌میوه	'Abmive
آب‌نبات	'AbnabAt
آب‌نما	'AbnamA
آب‌نمایی	'AbnamAyi
آب‌نمک	'Abnamak
آب‌نی	'Abney
آب‌هراسی	'AbharAsi
آب‌هویج	'Abhavij
آب‌وهوا	'AbohavA
آب‌وهوایی	'AbohavAyi
آب‌و‌تاب	'AbotAb
آب‌پاشی	'AbpASi
آب‌پرده	'Abparde
آب‌پرده‌داران	'AbpardedArAn
آب‌پز	'Abpaz
آب‌چکان	'AbCekAn
آب‌گذر	'Abgozar
آب‌گردان	'AbgardAn
آب‌گرفتگی	'Abgereftegi
آب‌گرمکن	'Abgarmkon
آب‌گریزی	'Abgorizi
آب‌گیری	'Abgiri
آتاترک	'AtAtork
آتاتورک	'AtAtork
آتاشه	'AtASe
آتالانتا	'AtlAntA
آتاکسی	'AtAksi
آتروفی	'Atrofi
آتروپین	'Atropin
آتش	'AtaS
آتشبار	'AtaSbAr
آتشباری	'AtaSbAri
آتشبازی	'AtaSbAzi
آتشبان	'AtaSbAn
آتشخانه	'AtaSxAne
آتشدان	'AtaSdAn
آتشفشان	'AtaSfeSAn
آتشفشانی	'AtaSfeSAni
آتشنشانی	'AtaSneSAni
آتشک	'AtaSak
آتشکار	'AtaSkAr
آتشکاری	'AtaSkAri
آتشکده	'AtaSkade
آتشکده‌ای	'AtaSkade'i
آتشگاه	'AtaSgAh
آتشگر	'AtaSgar
آتشگون	'AtaSgun
آتشگیره	'AtaSgire
آتشی	'AtaSi
آتشین	'AtaSin
آتشین‌مزاج	'AtaSinmezAj
آتشی‌مزاج	'AtaSimezAj
آتش‌افروز	'AtaSafruz
آتش‌افروزی	'AtaSafruzi
آتش‌باران	'AtaSbArAn
آتش‌بس	'AtaSbas
آتش‌خوار	'AtaSxAr
آتش‌زا	'AtaSzA
آتش‌سوزی	'AtaSsuzi
آتش‌نشان	'AtaSneSAn
آتش‌هراسی	'AtaSharAsi
آتش‌پاره	'AtaSpAre
آتش‌پرست	'AtaSparast
آتش‌پرستی	'AtaSparasti
آتش‌کشی	'AtaSkeSi
آتش‌کوه	'AtaSkuh
آتش‌گرفته	'AtaSgerefte
آتش‌گیر	'AtaSgir
آتل	'Atel
آتلانتا	'AtlAntA
آتلانتیس	'AtlAntis
آتلانتیک	'AtlAntik
آتلیه	'Atolye
آتم	'Atom
آتمسفر	'Atmosfer
آتن	'Aten
آتنا	'AtenA
آتنی	'Ateni
آتوسا	'AtusA
آتی	'Ati
آتیلا	'AtilA
آتیه	'Atiye
آتیه‌ای	'Atiye'i
آتی‌ساز	'AtisAz
آت‌وآشغال	'Ato'ASqAl
آثار	'AsAr
آثارالباقیه	'AsArolbAqiyye
آثام	'AsAm
آج	'Aj
آجان	'AjAn
آجدار	'AjdAr
آجر	'Ajor
آجرلو	'Ajorlu
آجرپز	'Ajorpaz
آجرپزی	'Ajorpazi
آجرچینی	'AjorCini
آجرکاری	'AjorkAri
آجری	'Ajori
آجر‌تراش	'AjortarAS
آجل	'Ajel
آجودان	'AjudAn
آجودانی	'AjudAni
آجودانیه	'AjudAniyye
آجید	'Ajid
آجیده	'Ajide
آجیل	'Ajil
آحاد	'AhAd
آخ	'Ax
