Kurdish	Gorani	Azeri Turkish	Gilaki	Mazanderani	Persian	Arabic	Urdu	Kashmiri	Sindhi
		آ	آ	آ	آ	آ	آ	آ	آ
		أ	أ	أ	أ	أ	أ	أ	أ
		ؤ	ؤ	ؤ	ؤ	ؤ	ؤ	ؤ	ؤ
		إ	إ	إ	إ	إ	إ	إ	إ
		اُ	اُ	اُ	اُ	اُ	اُ	اُ	اُ
		اَ	اَ	اَ	اَ	اَ	اَ	اَ	اَ
		اِ	اِ	اِ	اِ	اِ	اِ	اِ	اِ
ئ	ئ	ئ	ئ	ئ	ئ	ئ	ئ	ئ	ئ
ا	ا	ا	ا	ا	ا	ا	ا	ا	ا
ب	ب	ب	ب	ب	ب	ب	ب	ب	ب
ت	ت	ت	ت	ت	ت	ت	ت	ت	ت
		ث	ث	ث	ث	ث	ث	ث	ث
ج	ج	ج	ج	ج	ج	ج	ج	ج	ج
ح	ح	ح	ح	ح	ح	ح	ح	ح	ح
خ	خ	خ	خ	خ	خ	خ	خ	خ	خ
د	د	د	د	د	د	د	د	د	د
		ذ	ذ	ذ	ذ	ذ	ذ	ذ	ذ
ر	ر	ر	ر	ر	ر	ر	ر	ر	ر
ز	ز	ز	ز	ز	ز	ز	ز	ز	ز
س	س	س	س	س	س	س	س	س	س
ش	ش	ش	ش	ش	ش	ش	ش	ش	ش
		ص	ص	ص	ص	ص	ص	ص	ص
		ض	ض	ض	ض	ض	ض	ض	ض
		ط	ط	ط	ط	ط	ط	ط	ط
		ظ	ظ	ظ	ظ	ظ	ظ	ظ	ظ
ع	ع	ع	ع	ع	ع	ع	ع	ع	ع
غ	غ	غ	غ	غ	غ	غ	غ	غ	غ
ف	ف	ف	ف	ف	ف	ف	ف	ف	ف
ق	ق	ق	ق	ق	ق	ق	ق	ق	ق
ل	ل	ل	ل	ل	ل	ل	ل	ل	ل
م	م	م	م	م	م	م	م	م	م
ن	ن	ن	ن	ن	ن	ن	ن	ن	ن
ه	ه	ه	ه	ه	ه	ه	ہ	ہ	ه
و	و	و	و	و	و	و	و	و	و
ی	ی	ی	ی	ی	ی	ی	ی	ی	ی
ک	ک	ک	ک	ک	ک	ي	ک	ک	ک
پ	پ	پ	پ	پ	پ	ة	پ	پ	پ
چ	چ	چ	چ	چ	چ	ك	چ	چ	چ
گ	گ	گ	گ	گ	گ		گ	گ	گ
ژ	ژ	ژ	ژ	ژ	ژ		ژ	ژ	ٺ
ڕ	ڕ	وْ	ˇ	ˇ			ں	ں	ٻ
ڤ	ڤ	ؽ	ۋ				ڑ	ڑ	ٽ
ڵ	ڵ	ۇ	ۊ				ٹ	ٹ	ٿ
ۆ	ۆ	ۆ					ڈ	ڈ	ڀ
ھ	ھ						ھ	ھ	ھ
ە	ە						ە	ە	ڃ
ێ	ێ						ے	ے	ڄ
	ۉ							ےٚ	ڇ
	ۋ							ۄ	ڊ
	یْ							ۆ	ڌ
	یٛ							وٗ	ڍ
	وٙ							ٲ	ڏ
	ڎ							ٳ	ڙ
								ؠ	ڦ
									ي
									ڪ
									ڱ
									ڳ
									ڻ
